0
cover		
iv	a	
v	a	
vi	a	
vii	a	
2	b	
3	b	
4	c	1
5	c	1
6	c	2
7	c	2
8	c	3
9	c	3
10	c	4
11	c	5
12	d	1
13	d	1
14	d	2
15	d	2
16	d	3
17	d	3
18	d	4
19	d	5
20	e	1
21	e	1
22	e	2
23	e	2
24	e	3
25	e	3
26	e	4
27	e	5
28	f	1
29	f	1
30	f	2
31	f	2
32	f	3
33	f	3
34	f	4
35	f	5
36	g	1
37	g	1
38	g	2
39	g	2
40	g	3
41	g	3
42	g	4
43	g	5
44	h	1
45	h	1
46	h	2
47	h	2
48	h	3
49	h	3
50	h	4
51	h	5
52	i	1
53	i	1
54	i	2
55	i	2
56	i	3
57	i	3
58	i	4
59	i	5
60	j	
61	j	
62	j	
63	j	
64	k	1
65	k	1	
66	k	2	
67	k	2
68	k	3
69	k	3
70	k	4
71	k	5
72	l	1
73	l	1
74	l	2
75	l	2
76	l	3
77	l	3
78	l	4
79	l	5
80	m	1
81	m	1
82	m	2
83	m	2
84	m	3
85	m	3
86	m	4
87	m	5
88	n	1
89	n	1
90	n	2
91	n	2
92	n	3
93	n	3
94	n	4
95	n	5
96	o	1
97	o	1
98	o	2
99	o	2
100	o	3
101	o	3
102	o	4
103	o	5
104	p	1
105	p	1
106	p	2
107	p	2
108	p	3
109	p	3
110	p	4
111	p	5
112	q	1
113	q	1
114	q	2
115	q	2
116	q	3
117	q	3
118	q	4
119	q	5
120	r	
121	r	 
122	r	 
123	r	 
125	s	
126	t	1	
127	t	2
127	t	3	
128	t	4
128	t	5	
129	t	6	
129	t	7
130	t	8	
131	t	9	
132	t	10
133	t	11
133	t	12
134	t	13
135	t	14
137	u	1
138	u	2	
139	u	3
139	u	4
140	u	5
141	u	6
141	u	7
142	u	8
143	u	9
144	u	10
145	u	11
145	u	12
146	u	13
148	u	14
149	v	1
150	v	2
